Brand,Sherry,Model,Price,Year,Kilometer,Color,Province,District,Damage Information
Renault,Clio,1.0 TCe Evolution,1070000,2024,12000.0,Lacivert,Kayseri,Melikgazi,Unpainted-Unchanging-Without Tramer
BMW,4,Serisi 420i Gran Coupe M Sport,3250000,2022,17000.0,Siyah,Kocaeli,İzmit,Unpainted-Unchanging-Without Tramer
Skoda,Scala,1.0 TSI Premium,1249040,2020,38400.0,Kırmızı,Kırşehir,Merkez,Unpainted-Unchanging-Without Tramer
Audi,A4,Sedan 1.4 TFSI,1695000,2018,151500.0,Beyaz,İzmir,Gaziemir,Unpainted-Unchanging-Without Tramer
Volkswagen,Passat,1.6 TDi BlueMotion Business,1585000,2019,96500.0,Gri,Denizli,Merkezefendi,Unpainted-Unchanging-Without Tramer
Fiat,Egea,1.6 Multijet Urban,955000,2022,45000.0,Beyaz,İstanbul,Bahçelievler,Unpainted-Unchanging-Without Tramer
Skoda,SuperB,1.6 TDI Premium,1435900,2019,144500.0,Gri,Sakarya,Serdivan,Unpainted-Unchanging-Without Tramer
Volkswagen,Polo,1.0 TSi Life,1195000,2023,12300.0,Kırmızı,İstanbul,Şişli,Unpainted-Unchanging-Without Tramer
BMW,3,Serisi 328i Standart,650000,1999,325000.0,Gri,Gaziantep,Şahinbey,Unpainted-Unchanging-Without Tramer
Skoda,Octavia,1.6 TDI Style,955000,2016,171000.0,Beyaz,Hatay,Kırıkhan,Unpainted-Unchanging-Without Tramer
Mercedes,-,Benz E 200 d,275000,1985,358000.0,Mavi,Gaziantep,Nizip,Unpainted-Unchanging-Without Tramer
Fiat,Egea,1.6 E-Torq Urban Plus,845000,2019,42641.0,Beyaz,Kahramanmaraş,Onikişubat,Unpainted-Unchanging-Without Tramer
Mazda,626,2.0,365000,1998,426000.0,Mavi,Antalya,Kepez,Unpainted-Unchanging-Without Tramer
Mercedes,-,Benz C 180 Exclusive,1500000,2014,250000.0,Siyah,Kilis,Merkez,Unpainted-Unchanging-Without Tramer
Chevrolet,Aveo,1.4 LT,419000,2012,145000.0,Gri,İstanbul,Başakşehir,Unpainted-Unchanging-Without Tramer
Volkswagen,Polo,1.4 TDi Comfortline,490000,2009,248000.0,Beyaz,Samsun,Çarşamba,Unpainted-Unchanging-Without Tramer
BMW,3,Serisi 320i ED Modern Line,1315000,2013,92500.0,Beyaz,İstanbul,Bağcılar,Unpainted-Unchanging-Without Tramer
Volkswagen,Bora,1.6 Pacific,615000,2005,107000.0,Mavi,Bursa,Osmangazi,Unpainted-Unchanging-Without Tramer
BMW,7,Serisi 725d Long Pure Excellence,4650000,2017,171000.0,Gri,Ankara,Çankaya,Unpainted-Unchanging-Without Tramer
Renault,R,9 1.4 Broadway GTE,215000,1991,300000.0,Füme,Çanakkale,Çan,Unpainted-Unchanging-Without Tramer
Toyota,Corolla,1.5 Vision,1280000,2023,10000.0,Beyaz,Kocaeli,Gölcük,Unpainted-Unchanging-Without Tramer
